4/30/23 2:31,DEV_00062,591.6,139.7,13.86
1/31/24 1:11,DEV_00198,606.2,178.6,12.15
6/11/24 7:44,DEV_00149,420.2,117.1,10.24
2/21/24 19:08,DEV_00059,448.1,181.2,15.79
11/23/23 23:19,DEV_00186,554.1,141.4,16.5
10/12/24 7:57,DEV_00157,408.9,148.3,10.04
9/28/23 19:59,DEV_00062,430.4,116.7,13.44
8/27/23 22:43,DEV_00059,517.3,136.5,10.84
11/20/23 10:47,DEV_00157,538.5,160.7,19.59
11/17/23 19:21,DEV_00053,447.1,129.4,9.13
3/18/23 7:50,DEV_00186,445.3,130.9,13.54
3/29/23 19:06,DEV_00165,402.7,153.6,14.78
11/7/24 1:30,DEV_00190,629,163.1,14.88
9/9/24 11:57,DEV_00056,610.3,149.2,12.68
1/22/23 5:36,DEV_00059,508.9,178.6,13.71
10/2/24 7:25,DEV_00041,413.5,157.6,9.23
5/10/23 22:25,DEV_00165,482.9,156.3,14.09
9/14/24 4:55,DEV_00024,549.6,139.2,14.07
11/23/24 8:48,DEV_00030,451.7,119.2,10.33
4/17/24 4:16,DEV_00106,534.1,139.6,19.56
3/17/24 3:30,DEV_00056,568.5,136.7,11.01
12/22/23 11:16,DEV_00062,593.3,170.9,19.63
12/30/23 16:04,DEV_00062,547.5,,14.35
12/3/24 9:54,DEV_00186,489.7,144.2,9.84
7/9/24 2:10,DEV_00106,587.5,139.7,14.49
8/22/24 22:09,DEV_00113,550.7,134.2,10.88
7/4/24 12:08,DEV_00165,570,152.9,17.43
1/8/23 12:49,DEV_00030,567,141.1,
1/27/24 14:54,DEV_00113,577.3,154.9,12.89
8/14/23 5:09,DEV_00190,,139.1,12.54
3/18/23 9:41,DEV_00041,477.6,188.3,14.64
11/9/24 13:09,DEV_00149,604.1,188.2,16.86
1/17/23 21:21,DEV_00165,511.9,130.6,13.74
1/5/24 8:18,DEV_00149,435.3,165.4,
10/21/24 17:46,DEV_00198,446.8,150.1,20.5
8/24/24 5:46,DEV_00190,492.4,128.1,11.97
4/11/23 18:04,DEV_00129,380.3,110.6,10.56
12/31/24 11:30,DEV_00087,600.4,140.9,13.64
2/27/24 19:16,DEV_00051,425.2,165.4,14.37
5/28/24 12:29,DEV_00024,584.2,151,17.1
