2024-01-01,DEV_00001,30.97
2024-01-24,DEV_00079,11.68
2024-01-02,DEV_00155,27.25
2024-01-19,DEV_00028,121.56
2024-01-05,DEV_00165,24.51
2024-01-23,DEV_00068,23.37
2024-01-06,DEV_00188,23.29
2024-01-08,DEV_00140,16.36
2024-01-27,DEV_00139,28.83
2024-01-22,DEV_00103,12.08
2024-01-19,DEV_00049,14.89
2024-01-21,DEV_00130,33.45
2024-01-30,DEV_00027,11.79
2024-01-18,DEV_00068,41.81
2024-01-03,DEV_00132,81.04
2024-01-06,DEV_00004,24.43
2024-01-18,DEV_00011,13.25
2024-01-31,DEV_00015,25.96
2024-01-30,DEV_00150,23.21
2024-01-07,DEV_00167,20.25
2024-01-20,DEV_00017,110.74
2024-01-16,DEV_00180,16
2024-01-09,DEV_00011,9
2024-01-26,DEV_00119,10.63
2024-01-12,DEV_00022,30.43
2024-01-22,DEV_00181,46.25
2024-01-07,DEV_00100,15.66
2024-01-11,DEV_00144,9.65
2024-01-02,DEV_00105,22.6
2024-01-22,DEV_00159,5.33
2024-01-15,DEV_00106,35.99
2024-01-10,DEV_00198,27.05
2024-01-01,DEV_00089,33.66
2024-01-07,DEV_00153,16.61
2024-01-24,DEV_00104,10.17
2024-01-02,DEV_00134,9.54
2024-01-28,DEV_00004,10.6
2024-01-10,DEV_00183,5.41
2024-01-30,DEV_00077,12.51
2024-01-16,DEV_00121,101.71
2024-01-08,DEV_00193,60.23
2024-01-26,DEV_00185,15.35
2024-01-12,DEV_00088,41.62
2024-01-20,DEV_00144,17.94
2024-01-24,DEV_00105,67.79
2024-01-05,DEV_00189,12.41
2024-01-29,DEV_00002,52.89
2024-01-28,DEV_00182,27.75
2024-01-25,DEV_00023,16.68
2024-01-05,DEV_00163,30
2024-01-02,DEV_00123,29.86
2024-01-11,DEV_00061,18.65
2024-01-04,DEV_00109,59.51
2024-01-25,DEV_00016,15.57
2024-01-04,DEV_00039,6.75
2024-01-10,DEV_00076,37.68
2024-01-02,DEV_00012,26.93
2024-01-06,DEV_00127,27.33
2024-01-09,DEV_00043,6.62
2024-01-13,DEV_00123,57.68
2024-01-16,DEV_00192,7.69
2024-01-13,DEV_00170,43.13
2024-01-22,DEV_00150,21.34
2024-01-29,DEV_00174,22.83
2024-01-08,DEV_00161,27.72
2024-01-10,DEV_00175,19.73
2024-01-30,DEV_00094,15.08
2024-01-16,DEV_00143,8.52
2024-01-16,DEV_00081,7.98
2024-01-22,DEV_00018,30.1
2024-01-13,DEV_00011,16.9
2024-01-02,DEV_00037,7.68
2024-01-19,DEV_00120,45.35
2024-01-06,DEV_00144,14.92
2024-01-28,DEV_00086,8.91
2024-01-14,DEV_00073,21.95
2024-01-18,DEV_00199,5.25
2024-01-16,DEV_00015,30.22
2024-01-17,DEV_00159,30.04
2024-01-08,DEV_00034,41.07
2024-01-23,DEV_00072,30.67
2024-01-28,DEV_00124,31.79
2024-01-23,DEV_00077,11.22
2024-01-18,DEV_00076,44.63
2024-01-03,DEV_00091,24.34
2024-01-30,DEV_00102,14.39
2024-01-13,DEV_00055,12.15
2024-01-22,DEV_00010,8.7
2024-01-30,DEV_00195,6.85
2024-01-13,DEV_00061,6.25
2024-01-02,DEV_00150,10.91
2024-01-08,DEV_00006,46.54
2024-01-24,DEV_00080,27.45
2024-01-20,DEV_00045,28.7
2024-01-09,DEV_00134,27.6
2024-01-31,DEV_00126,3.08
2024-01-27,DEV_00053,7.03
2024-01-28,DEV_00050,7.68
2024-01-12,DEV_00146,20.01
2024-01-23,DEV_00144,17.98
2024-01-29,DEV_00181,33.38
2024-01-31,DEV_00001,29.11
2024-01-19,DEV_00155,48.61
2024-01-24,DEV_00188,19.13
2024-01-08,DEV_00019,33.65
2024-01-01,DEV_00167,47.45
2024-01-29,DEV_00066,24.65
2024-01-19,DEV_00107,46.47
2024-01-22,DEV_00037,31.26
2024-01-28,DEV_00059,34.22
2024-01-02,DEV_00170,28.87
2024-01-05,DEV_00169,29.56
2024-01-31,DEV_00029,57.11
2024-01-07,DEV_00078,20.81
2024-01-29,DEV_00024,13.27
2024-01-19,DEV_00129,21.06
2024-01-07,DEV_00010,60.52
2024-01-01,DEV_00186,5.55
2024-01-31,DEV_00004,9.07
2024-01-28,DEV_00063,24.91
2024-01-10,DEV_00027,131.89
2024-01-15,DEV_00163,52.51
2024-01-07,DEV_00051,24.76
2024-01-10,DEV_00099,5.86
2024-01-15,DEV_00081,17.19
2024-01-17,DEV_00197,7.67
2024-01-20,DEV_00104,13.19
2024-01-26,DEV_00151,9.64
2024-01-21,DEV_00116,12.74
2024-01-15,DEV_00004,159.72
2024-01-25,DEV_00036,41.33
2024-01-15,DEV_00001,15.07
2024-01-15,DEV_00030,51.16
2024-01-13,DEV_00164,8.98
2024-01-19,DEV_00047,32.62
2024-01-08,DEV_00024,21.76
2024-01-30,DEV_00058,3.94
2024-01-07,DEV_00165,17.14
2024-01-14,DEV_00050,27.08
2024-01-04,DEV_00057,9.17
2024-01-23,DEV_00160,7.23
2024-01-22,DEV_00032,33.87
2024-01-28,DEV_00086,30.12
2024-01-27,DEV_00116,61.61
2024-01-29,DEV_00121,28.21
2024-01-20,DEV_00143,19.25
2024-01-17,DEV_00175,52.01
2024-01-11,DEV_00161,16.3
2024-01-26,DEV_00055,61.37
2024-01-27,DEV_00113,45.92
2024-01-20,DEV_00038,13.91
2024-01-06,DEV_00175,25.69
2024-01-26,DEV_00097,71.56
2024-01-01,DEV_00075,88.92
2024-01-08,DEV_00142,56.42
2024-01-14,DEV_00166,52.69
2024-01-14,DEV_00144,22.86
2024-01-26,DEV_00034,15.7
2024-01-15,DEV_00106,19.27
2024-01-23,DEV_00162,35.44
2024-01-27,DEV_00018,11.15
2024-01-07,DEV_00031,29.57
2024-01-18,DEV_00101,6.71
2024-01-08,DEV_00011,18.55
2024-01-13,DEV_00111,33.67
2024-01-05,DEV_00131,44.98
2024-01-10,DEV_00074,19.66
2024-01-29,DEV_00095,38.3
2024-01-21,DEV_00114,30.51
2024-01-24,DEV_00078,15.29
2024-01-28,DEV_00175,19.08
2024-01-16,DEV_00063,16.1
2024-01-22,DEV_00005,13.1
2024-01-28,DEV_00155,60.45
2024-01-31,DEV_00089,72.9
2024-01-08,DEV_00109,59.71
2024-01-21,DEV_00107,19.92
2024-01-26,DEV_00002,22.63
2024-01-06,DEV_00176,30.14
2024-01-25,DEV_00053,10.2
2024-01-06,DEV_00174,30.03
2024-01-10,DEV_00150,19.14
2024-01-17,DEV_00111,49.6
2024-01-20,DEV_00067,50.25
2024-01-31,DEV_00034,71.29
2024-01-09,DEV_00100,50.76
2024-01-01,DEV_00166,62.27
2024-01-08,DEV_00008,9.7
2024-01-27,DEV_00103,47.46
2024-01-20,DEV_00129,140.7
2024-01-14,DEV_00024,11.08
2024-01-07,DEV_00048,7.41
2024-01-28,DEV_00032,6.09
